Long,lat,Location,tribute(obols)
28.05,38.2578,Dioseritai,44
26.0732143,37.6305806,Therma in Ikaros,50
27.254483,37.829287,Marathesion,50
27.069173,38.874665,Gryneion,100
27.1975,37.9928,Notion,200
27.172056,36.587875, Nisyros,600
26.159,37.626,Oine in Ikaros,400
27.157223,38.0908258,Kolophon,900
27.673196,37.378355,Myrina by Kyme,600
26.9647,38.0779,Lebedos,600
26.48173,38.424665,Hairai,600
26.753208,38.670353,Phokaia,1200
26.7877,38.1717,Teos,3600
26.9363,38.7595,Kyme,5400
27.0384,38.9415,Elaea,100
26.8886,39.5866,Astyra Mysia,50
"26.937453000000001	",38.928297,Pitane,100
26.480833, lat:38.382778000000002,Erythrai,4200
26.30718,38.327245,Boutheia,100
26.5772,38.4291,Polichne,400
26.415179,38.480083,Pteleon,10
"26.515640000000001	",38.65944,Sidousa,50
"26.542853999999995	",39.535451,Gargara,466
27.433117,37.595252,Myous,600
27.2981,37.6599,Priene,600
27.263729,37.862209,Pygela,600
27.3517645,38.9415,Ephesos,3600
26.7705581, 38.361462500000002,Klazomenia,900
27.2774885,37.5292362,Miletos,3000
26.686456,40.23637,Palaiperkote,50
26.538,40.1963,Arisbe,1200
28.038408,41.053506,Daunion,100
"27.274404000000001	",40.286031,Diduma Teichos,100
26.421229,39.538105,Lamponeia,100
26.37442,40.079727,Dardanos,600
27.392,40.3343,Harpagion,30
26.0715,39.8337,Tenedos,1728
"28.247676999999999	",41.078496,Selymbria,3000
26.699162,40.346685,Lampsakos,7200
26.177454,39.97336,Sigeion,100
26.4172,40.2284,Sestos,50
26.272679,40.27056, Limnai,50
26.357002,40.186504,Madytos,50
26.5,40.3333,Chersonesos,600
26.249544,40.313939,Alopekonnesos,100
27.069096,40.420499,Parion,200
"26.588806000000002	",40.273913,Perkote,100
26.223326,40.054457,Elaious,10
27.55568,40.591686,Prokonnesos,1800
27.874127,40.389806,Kyzikos,5400
27.796268,40.402952,Artake,200
27.952973,40.971013,Perinthos,6000
28.9738815,41.005902,Byzantion,9430
23.5292,40.0173,Neapolis,100
26.688003,39.82554,Skepsis,100
23.488506,39.164021,Skiathos,100
"23.900777000000001	",39.163501,Ikos,150
24.190639,40.330422,Olophyxos,200
23.795769,40.592218,Stageira,100
24.158674,40.288017,Thyssos,600
24.163782,40.355943, Dion from Mt.Athos,600
23.138509,40.483197,Strepsa,600
27.263729,37.862209,Galepsos,300
24.415015,40.93504,Neapolis in Thrace,300
"23.666063999999999	",39.978627,Aige,200
25.511426,40.873751,Maroneia,900
23.306117,40.098381,Sane,400
23.664835,40.369151,Stolos,400
